id,symbol,category,name
128049152,Platinum,Metals,Платина
128049153,Palladium,Metals,Палладий
128049154,Gold,Metals,Золото
128049155,Silver,Metals,Серебро
128049156,Bertrandite,Minerals,Бертрандит
128049157,Indite,Minerals,Индит
128049158,Gallite,Minerals,Галлит
128049159,Coltan,Minerals,Колтан
128049160,Uraninite,Minerals,Уранинит
128049161,Lepidolite,Minerals,Лепидолит
128049162,Cobalt,Metals,Кобальт
128049163,Rutile,Minerals,Рутил
128049165,Bauxite,Minerals,Боксит
128049166,Water,Chemicals,Вода
128049168,Beryllium,Metals,Бериллий
128049169,Indium,Metals,Индий
128049170,Gallium,Metals,Галлий
128049171,Tantalum,Metals,Тантал
128049172,Uranium,Metals,Уран
128049173,Lithium,Metals,Литий
128049174,Titanium,Metals,Титан
128049175,Copper,Metals,Медь
128049176,Aluminium,Metals,Алюминий
128049177,Algae,Foods,Водоросли
128049178,FruitAndVegetables,Foods,Фрукты и овощи
128049180,Grain,Foods,Зерно
128049182,Animalmeat,Foods,Мясо животных
128049183,Fish,Foods,Рыба
128049184,FoodCartridges,Foods,Пищевые брикеты
128049185,SyntheticMeat,Foods,Синтетическое мясо
128049188,Tea,Foods,Чай
128049189,Coffee,Foods,Кофе
128049190,Leather,Textiles,Кожа
128049191,NaturalFabrics,Textiles,Натуральная ткань
128049193,SyntheticFabrics,Textiles,Синтетическая ткань
128049197,Polymers,Industrial Materials,Полимеры
128049199,Semiconductors,Industrial Materials,Полупроводники
128049200,Superconductors,Industrial Materials,Сверхпроводники
128049202,HydrogenFuel,Chemicals,Водородное топливо
128049203,MineralOil,Chemicals,Нефть
128049204,Explosives,Chemicals,Взрывчатка
128049205,Pesticides,Chemicals,Пестициды
128049208,AgriculturalMedicines,Medicines,Ветмедикаменты
128049209,PerformanceEnhancers,Medicines,Стимуляторы
128049210,BasicMedicines,Medicines,Основные лекарства
128049212,BasicNarcotics,Legal Drugs,Наркотики
128049213,Tobacco,Legal Drugs,Табак
128049214,Beer,Legal Drugs,Пиво
128049215,Wine,Legal Drugs,Вино
128049216,Liquor,Legal Drugs,Спиртное
128049217,PowerGenerators,Machinery,Электрогенераторы
128049218,WaterPurifiers,Machinery,Водоочистители
128049220,HeliostaticFurnaces,Machinery,Микробные печи
128049221,MineralExtractors,Machinery,Экстракторы минералов
128049222,CropHarvesters,Machinery,Уборочный комбайн
128049223,MarineSupplies,Machinery,Морское оборудование
128049225,ComputerComponents,Technology,Компьютерные компоненты
128049226,HazardousEnvironmentSuits,Technology,Защитные костюмы
128049227,Robotics,Technology,Роботы
128049228,AutoFabricators,Technology,Автосинтезаторы
128049229,AnimalMonitors,Technology,Мониторы фауны
128049230,AquaponicSystems,Technology,Аквапонные системы
128049231,AdvancedCatalysers,Technology,Улучшенные катализаторы
128049232,TerrainEnrichmentSystems,Technology,Системы обогащения почвы
128049233,PersonalWeapons,Weapons,Личное оружие
128049234,BattleWeapons,Weapons,Военное оружие
128049235,ReactiveArmour,Weapons,Реактивная защита
128049236,NonLethalWeapons,Weapons,Нелетальное оружие
128049238,DomesticAppliances,Consumer Items,Бытовая техника
128049240,ConsumerTechnology,Consumer Items,Потребительские товары
128049241,Clothing,Consumer Items,Одежда
128049243,Slaves,Slavery,Рабы
128049244,Biowaste,Waste,Биоотходы
128049245,ToxicWaste,Waste,Токсичные отходы
128049246,ChemicalWaste,Waste,Радиоактивные материалы
128049248,Scrap,Waste,Утильсырье
128049669,ProgenitorCells,Medicines,Прогениторные клетки
128049670,CombatStabilisers,Medicines,Боевые стабилизаторы
128049671,ResonatingSeparators,Technology,Резонансные сепараторы
128049672,BioReducingLichen,Technology,Лишайник-биоредуктор
128064028,AtmosphericExtractors,Machinery,Атмосферный процессор
128066403,Drones,NonMarketable,Limpets
128666752,USSCargoBlackBox,Salvage,Черный ящик
128666754,USSCargoTradeData,Salvage,Торговая информация
128666755,USSCargoMilitaryPlans,Salvage,Военные планы
128666756,USSCargoAncientArtefact,Salvage,Древний артефакт
128666757,USSCargoRareArtwork,Salvage,Редкие произведения искусства
128666758,USSCargoExperimentalChemicals,Salvage,Экспериментальные химикаты
128666759,USSCargoRebelTransmissions,Salvage,Переговоры повстанцев
128666760,USSCargoPrototypeTech,Salvage,Экспериментальная техника
128666761,USSCargoTechnicalBlueprints,Salvage,Промышленные чертежи
128667728,ImperialSlaves,Slavery,Имперские рабы
128668547,UnknownArtifact,Salvage,Таргоидский сенсор
128668548,AiRelics,Salvage,Фрагменты ИИ
128668549,Hafnium178,Metals,Гафний-178
128668550,Painite,Minerals,Пейнит
128668551,Antiquities,Salvage,Древние реликвии
128668552,MilitaryIntelligence,Salvage,Разведданные
128671118,Osmium,Metals,Осмий
128671443,SAP8CoreContainer,Salvage,Контейнер «SAP 8 Core»
128671444,TrinketsOfFortune,Consumer Items,Безделушки таинственной Фортуны
128672123,WreckageComponents,Salvage,Обломки кораблекрушений
128672124,EncriptedDataStorage,Salvage,Зашифрованный носитель данных
128672125,OccupiedCryoPod,Salvage,Спасательная капсула с пассажиром
128672126,PersonalEffects,Salvage,Личные вещи
128672127,ComercialSamples,Salvage,Рекламные образцы
128672128,TacticalData,Salvage,Тактические данные
128672129,AssaultPlans,Salvage,Планы атак
128672130,EncryptedCorrespondence,Salvage,Шифрованная переписка
128672131,DiplomaticBag,Salvage,Дипломатическая сумка
128672132,ScientificResearch,Salvage,Материалы исследования
128672133,ScientificSamples,Salvage,Научные образцы
128672134,PoliticalPrisoner,Salvage,Политический заключенный
128672135,Hostage,Salvage,Заложник
128672136,LargeExplorationDataCash,Salvage,Большой пакет с данными исследования
128672137,SmallExplorationDataCash,Salvage,Малый пакет с данными исследования
128672159,AntiqueJewellery,Salvage,Древние ювелирные украшения 
128672160,PreciousGems,Salvage,Драгоценные камни
128672161,EarthRelics,Salvage,Реликвии с Земли 
128672162,GeneBank,Salvage,Генотека
128672163,TimeCapsule,Salvage,Мемориальная капсула
128672294,Cryolite,Minerals,Криолит
128672295,Goslarite,Minerals,Госларит
128672296,Moissanite,Minerals,Муассанит
128672297,Pyrophyllite,Minerals,Пирофиллит
128672298,Lanthanum,Metals,Лантан
128672299,Thallium,Metals,Таллий
128672300,Bismuth,Metals,Висмут
128672301,Thorium,Metals,Торий
128672302,CeramicComposites,Industrial Materials,Керамокомпозиты
128672303,SyntheticReagents,Chemicals,Синтетические реагенты
128672304,NerveAgents,Chemicals,Агенты нервно-паралит. действия
128672305,SurfaceStabilisers,Chemicals,Стабилизаторы поверхности
128672306,BootlegLiquor,Legal Drugs,Самогон
128672307,GeologicalEquipment,Machinery,Геологическое оборудование
128672308,ThermalCoolingUnits,Machinery,Термальные охладители
128672309,BuildingFabricators,Machinery,Строительные синтезаторы
128672310,MuTomImager,Technology,Мюонное видеоустройство
128672311,StructuralRegulators,Technology,Конструкционные регуляторы
128672312,Landmines,Weapons,Мины
128672313,SkimerComponents,Machinery,Детали оборон. беспилотников
128672314,EvacuationShelter,Consumer Items,Эвакуационное убежище
128672315,GeologicalSamples,Salvage,Образцы породы
128672701,MetaAlloys,Industrial Materials,Метасплавы
128672775,Taaffeite,Minerals,Тааффеит
128672776,Jadeite,Minerals,Жадеит
128672810,UnstableDataCore,Salvage,Нестабильное ядро данных
128672811,DamagedEscapePod,Salvage,Поврежденная спасательная капсула
128673845,Praseodymium,Metals,Празеодим
128673846,Bromellite,Minerals,Бромеллит
128673847,Samarium,Metals,Самарий
128673848,LowTemperatureDiamond,Minerals,Низкотемпературные алмазы
128673850,HydrogenPeroxide,Chemicals,Пероксид водорода
128673851,LiquidOxygen,Chemicals,Жидкий кислород
128673852,MethanolMonohydrateCrystals,Minerals,Кристаллы моногидрата метанола
128673853,LithiumHydroxide,Minerals,Гидроксид лития
128673854,MethaneClathrate,Minerals,Клатрат метана
128673855,InsulatingMembrane,Industrial Materials,Изолирующая мембрана
128673856,CMMComposite,Industrial Materials,CMM-композит
128673857,CoolingHoses,Industrial Materials,Шланги системы охлаждения малых диаметров
128673858,NeofabricInsulation,Industrial Materials,Высокотехнологичная изоляция
128673859,ArticulationMotors,Machinery,Шарнирные моторы
128673860,HNShockMount,Machinery,Разрядная установка HN
128673861,EmergencyPowerCells,Machinery,Аварийные энергоячейки
128673862,PowerConverter,Machinery,Преобразователь энергии
128673863,PowerGridAssembly,Machinery,Электросеть в сборе
128673864,PowerTransferConduits,Machinery,Энергообменная шина
128673865,RadiationBaffle,Machinery,Отражатель излучения
128673866,ExhaustManifold,Machinery,Выпускной коллектор
128673867,ReinforcedMountingPlate,Machinery,Усиленная монтажная плита
128673868,HeatsinkInterlink,Machinery,Радиаторный соединитель
128673869,MagneticEmitterCoil,Machinery,Спираль магнитного излучателя
128673870,ModularTerminals,Machinery,Модульные терминалы
128673871,Nanobreakers,Technology,Нанопрерыватели
128673872,TelemetrySuite,Technology,Телеметрический комплект
128673873,MicroControllers,Technology,Микроконтроллеры
128673874,IonDistributor,Machinery,Ионный распределитель
128673875,DiagnosticSensor,Technology,Сенсор диагностики оборудования
128673876,UnknownArtifact2,Salvage,Таргоидский зонд
128682044,ConductiveFabrics,Textiles,Проводящая ткань
128682045,MilitaryGradeFabrics,Textiles,Ткани военного класса
128682046,AdvancedMedicines,Medicines,Новейшие лекарства
128682047,MedicalDiagnosticEquipment,Technology,Диагностическое медоборудование
128682048,SurvivalEquipment,Consumer Items,Снаряжение для выживания
128682049,DataCore,Salvage,Ядро данных
128682051,MysteriousIdol,Salvage,Таинственный идол
128682052,ProhibitedResearchMaterials,Salvage,Запретные материалы исследований
128682053,AntimatterContainmentUnit,Salvage,Контейнер с антиматерией
128682054,SpacePioneerRelics,Salvage,Следы первопроходцев космоса
128682055,FossilRemnants,Salvage,Ископаемые останки
128732183,AncientRelic,Salvage,Древняя реликвия
128732184,AncientOrb,Salvage,Древний шар
128732185,AncientCasket,Salvage,Древний контейнер
128732186,AncientTablet,Salvage,Древняя пластина
128732187,AncientUrn,Salvage,Древняя урна
128732188,AncientTotem,Salvage,Древний тотем
128737287,UnknownResin,Salvage,Таргоидская смола
128737288,UnknownBiologicalMatter,Salvage,Таргоидская биомасса
128737289,UnknownTechnologySamples,Salvage,Образцы таргоидских технологий
128740752,UnknownArtifact3,Salvage,Таргоидское звено
128793127,ThargoidHeart,Salvage,Таргоидское «сердце»
128793128,ThargoidTissueSampleType1,Salvage,Образец ткани таргоидского корабля «Циклоп» 
128793129,ThargoidTissueSampleType2,Salvage,Образец ткани таргоидского корабля «Василиск»
128793130,ThargoidTissueSampleType3,Salvage,Образец ткани таргоидского корабля «Медуза»
128824468,ThargoidScoutTissueSample,Salvage,Образец тканей таргоида-разведчика 
128888499,AncientKey,Salvage,Древний ключ
128902652,ThargoidTissueSampleType4,Salvage,Образец ткани таргоидского корабля «Гидра»
128922517,M_TissueSample_Fluid,Salvage,Mollusc Fluid
128922518,M_TissueSample_Soft,Salvage,Mollusc Soft Tissue
128922519,M_TissueSample_Nerves,Salvage,Mollusc Brain Tissue
128922520,S_TissueSample_Cells,Salvage,Pod Core Tissue
128922521,S_TissueSample_Surface,Salvage,Pod Dead Tissue
128922522,S_TissueSample_Core,Salvage,Pod Surface Tissue
128922523,P_ParticulateSample,Salvage,Anomaly Particles
128922781,S9_TissueSample_Shell,Salvage,Pod Tissue
128922782,M3_TissueSample_Membrane,Salvage,Mollusc Membrane
128922783,M3_TissueSample_Mycelium,Salvage,Mollusc Mycelium
128922784,M3_TissueSample_Spores,Salvage,Mollusc Spores
128922785,S6_TissueSample_Mesoglea,Salvage,Pod Mesoglea
128922786,S6_TissueSample_Cells,Salvage,Pod Outer Tissue
128922787,S6_TissueSample_Coenosarc,Salvage,Pod Shell Tissue
128924325,Rhodplumsite,Minerals,Родплумсайт
128924326,Serendibite,Minerals,Серендибит
128924327,Monazite,Minerals,Монацит
128924328,Musgravite,Minerals,Мусгравит
128924329,Benitoite,Minerals,Бенитоит
128924330,Grandidierite,Minerals,Грандидьерит
128924331,Alexandrite,Minerals,Александрит
128924332,Opal,Minerals,Опал
128924333,RockforthFertiliser,Chemicals,Rockforth Fertiliser
128924334,AgronomicTreatment,Chemicals,Agronomic Treatment
128961249,Tritium,Chemicals,Tritium
128983059,OnionHeadC,Legal Drugs,Onionhead Gamma Strain
129015433,AncientRelicTG,Salvage,Unclassified Relic
129019258,ThargoidTissueSampleType5,Salvage,Thargoid Orthrus Tissue Sample
129019259,ThargoidGeneratorTissueSample,Salvage,Caustic Tissue Sample
129022087,UnocuppiedEscapePod,Salvage,Unoccupied Escape Pod
129022395,ThargoidTissueSampleType6,Salvage,Thargoid Glaive Tissue Sample
129022396,ThargoidTissueSampleType7,Salvage,Thargoid Scythe Tissue Sample
129022398,ThargoidTissueSampleType9a,Salvage,Titan Deep Tissue Sample
129022399,ThargoidTissueSampleType9b,Salvage,Titan Tissue Sample
129022400,ThargoidTissueSampleType9c,Salvage,Titan Partial Tissue Sample
129022402,ThargoidTissueSampleType10a,Salvage,Titan Maw Deep Tissue Sample
129022403,ThargoidTissueSampleType10b,Salvage,Titan Maw Tissue Sample
129022404,ThargoidTissueSampleType10c,Salvage,Titan Maw Partial Tissue Sample
129022405,UnknownSack,Salvage,Protective Membrane Scrap
129022406,ThargoidPod,Salvage,Xenobiological Prison Pod
129022407,CoralSap,Salvage,Coral Sap
129022408,UnknownMineral,Salvage,Impure Spire Mineral
129022409,UnknownRefinedMineral,Salvage,Semi-Refined Spire Mineral
129030459,ThargoidTitanDriveComponent,Salvage,Titan Drive Component
129030460,ThargoidCystSpecimen,Salvage,Cyst Specimen
129030461,ThargoidBoneFragments,Salvage,Bone Fragments
129030462,ThargoidOrganSample,Salvage,Organ Sample
129031238,Steel,Metals,Steel
129031327,Haematite,Minerals,Haematite
